task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.18026,93.8,0.686
horizontal,1,2,0.03362,98.85,0.447
horizontal,1,3,0.03343,98.86,0.456
horizontal,1,4,0.03216,98.75,0.457
horizontal,1,5,0.03008,98.85,0.544
vertical,2,1,0.48669,88.23,0.548
vertical,2,2,0.03057,98.97,0.551
vertical,2,3,0.02266,99.26,0.534
vertical,2,4,0.02543,99.15,0.535
vertical,2,5,0.01813,99.55,0.527
circle,3,1,0.80368,71.17,0.529
circle,3,2,0.24896,90.63,0.521
circle,3,3,0.07675,97.25,0.532
circle,3,4,0.08385,96.86,0.517
circle,3,5,0.04992,98.16,0.513
diagonal,4,1,0.22633,93.99,0.545
diagonal,4,2,0.03342,98.84,0.54
diagonal,4,3,0.02669,99.03,0.514
diagonal,4,4,0.03557,98.69,0.514
diagonal,4,5,0.03245,98.73,0.539
xor_quadrant,5,1,0.83531,66.17,0.527
xor_quadrant,5,2,0.26434,89.95,0.545
xor_quadrant,5,3,0.06362,97.55,0.521
xor_quadrant,5,4,0.05097,98.1,0.505
xor_quadrant,5,5,0.04533,98.16,0.392
