step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.1353950500488281,0.7850629091262817,0.5347175598144531,0.03999999538064003,1.295941710472107,0.07738473266363144,0.5,0.0,0.5,0.5,0.0,0.0
50,1.1954680681228638,0.2537933588027954,0.26408031582832336,0.03559107705950737,0.7754663228988647,0.07014389336109161,0.4887,0.0014,0.4874,0.5111,0.0,0.0
100,1.3612161874771118,0.6625335216522217,0.6818118095397949,0.03153103590011597,1.1874637603759766,0.012876233085989952,0.4776,0.0029,0.4746,0.5212,0.0,0.0
150,1.195637583732605,0.7683490514755249,0.6453709006309509,0.02785661816596985,0.8759672045707703,0.05379534512758255,0.4669,0.0044,0.4624,0.5311,0.0,0.0
200,1.2490168809890747,1.1643575429916382,0.18146778643131256,0.024530896916985512,1.1673110723495483,0.04306339472532272,0.4566,0.0059,0.4509,0.5416,0.0,0.0
250,1.3863639831542969,0.4758191704750061,0.48540812730789185,0.021520590409636497,1.1936548948287964,0.03456520289182663,0.4467,0.0074,0.4395,0.5514,0.0,0.0
300,1.3659803867340088,0.7102553844451904,0.6461970806121826,0.01884128712117672,0.9986838102340698,0.030883826315402985,0.4373,0.0088,0.4293,0.5613,0.0,0.0
350,1.2196578979492188,0.6285967230796814,0.6172522306442261,0.016424404457211494,0.6773809194564819,0.010275629349052906,0.4282,0.0101,0.4187,0.5709,0.0,0.0
400,1.237253189086914,0.7133801579475403,0.6433812975883484,0.014286506921052933,0.7935049533843994,0.0670090839266777,0.4195,0.0114,0.409,0.5788,0.0,0.0
450,1.135233998298645,0.8295482397079468,0.2507270574569702,0.012383661232888699,0.714684009552002,0.13388238847255707,0.4113,0.0128,0.3993,0.5869,0.0,0.0
500,0.9241319894790649,0.12803271412849426,0.1982678472995758,0.01068402174860239,0.5234169960021973,0.2339136302471161,0.4034,0.014,0.3915,0.5963,0.0,0.0
550,1.2136768102645874,0.6829342246055603,0.6628419160842896,0.009187335148453712,0.5927395820617676,0.07051446288824081,0.3959,0.0153,0.3823,0.6051,0.0,0.0
600,1.1445741653442383,0.8854151964187622,0.30675387382507324,0.007881875149905682,0.7473695278167725,0.04616677016019821,0.3888,0.0165,0.3739,0.6145,0.0,0.0
650,1.346847414970398,0.9881398677825928,0.19230987131595612,0.006740415468811989,0.716583251953125,0.03330717608332634,0.3821,0.0176,0.3667,0.6206,0.0,0.0
700,1.3874651193618774,0.6784690618515015,0.6673538684844971,0.005731150973588228,0.6299118995666504,0.09007921069860458,0.3757,0.0188,0.3572,0.6292,0.0,0.0
750,1.3671202659606934,0.7816026210784912,0.3023718595504761,0.004852051846683025,0.6172846555709839,0.03511017933487892,0.3697,0.0199,0.3491,0.6359,0.0,0.0
800,1.2096080780029297,0.9709464907646179,0.32964515686035156,0.004094540607184172,0.6254054307937622,0.07942983508110046,0.364,0.0211,0.3423,0.6423,0.0,0.0
850,1.3989226818084717,0.4735625684261322,0.19858846068382263,0.003440320957452059,0.6323821544647217,0.018512675538659096,0.3587,0.0222,0.3335,0.6486,0.0,0.0
900,1.041288137435913,0.17211127281188965,0.20822812616825104,0.002882899483665824,0.6605228185653687,0.08623236417770386,0.3537,0.0233,0.3268,0.6558,0.0,0.0
950,1.1828241348266602,0.47330009937286377,0.20015272498130798,0.002389951841905713,0.4080142378807068,0.16849519312381744,0.3489,0.0244,0.3194,0.662,0.0,0.0
1000,1.0340325832366943,0.1900743544101715,0.17495715618133545,0.0019673823844641447,0.5662058591842651,0.261586457490921,0.3444,0.0255,0.3138,0.6684,0.0,0.0
