step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.2553950548171997,0.7850629091262817,0.5347175598144531,0.1600000113248825,1.295941710472107,0.07738473266363144,0.5,0.0,0.5,0.5,0.0,0.0
50,1.3105230331420898,0.25387224555015564,0.2640206217765808,0.150699645280838,0.7746443748474121,0.07012005150318146,0.4882,0.0012,0.4874,0.5111,0.0,0.0
100,1.4711763858795166,0.6625396013259888,0.6818124055862427,0.14169582724571228,1.1841682195663452,0.012863260693848133,0.4764,0.0025,0.4744,0.521,0.0,0.0
150,1.3007569313049316,0.7684950828552246,0.6453359723091125,0.1331510692834854,0.87144935131073,0.05370918661355972,0.4649,0.0038,0.4619,0.531,0.0,0.0
200,1.3492649793624878,1.1646714210510254,0.1812831163406372,0.1250457912683487,1.1585652828216553,0.04297050088644028,0.4536,0.0052,0.4505,0.5414,0.0,0.0
250,1.4818142652511597,0.4758220314979553,0.4854115843772888,0.11736153811216354,1.1815533638000488,0.034543879330158234,0.4426,0.0065,0.4383,0.5512,0.0,0.0
300,1.456723690032959,0.7103042602539062,0.646155834197998,0.11012522876262665,0.9856035113334656,0.030794521793723106,0.4319,0.0079,0.4269,0.561,0.0,0.0
350,1.305956482887268,0.6285969018936157,0.6172527074813843,0.10327079147100449,0.6662866473197937,0.010241019539535046,0.4214,0.0092,0.4156,0.5706,0.0,0.0
400,1.3187919855117798,0.7135658264160156,0.6432616710662842,0.0968436524271965,0.7780808210372925,0.06680839508771896,0.4112,0.0105,0.4047,0.5785,0.0,0.0
450,1.212853193283081,0.8304497599601746,0.25038957595825195,0.09079249203205109,0.6976504325866699,0.13353231549263,0.4013,0.0118,0.3945,0.5866,0.0,0.0
500,0.9975860714912415,0.13015016913414001,0.19426853954792023,0.0850888043642044,0.5083698034286499,0.23509202897548676,0.3917,0.013,0.3854,0.5959,0.0,0.0
550,1.2831881046295166,0.6830968260765076,0.6628556251525879,0.07973933219909668,0.573381781578064,0.07019461691379547,0.3824,0.0143,0.3752,0.6047,0.0,0.0
600,1.2105212211608887,0.8864890336990356,0.30596429109573364,0.07474016398191452,0.7196182608604431,0.04576905816793442,0.3734,0.0155,0.3651,0.6142,0.0,0.0
650,1.408811330795288,0.9893013834953308,0.19201558828353882,0.07006055116653442,0.6858013868331909,0.03292464837431908,0.3647,0.0166,0.356,0.6202,0.0,0.0
700,1.4452664852142334,0.6786999106407166,0.6673620939254761,0.06565979868173599,0.6011650562286377,0.08966576308012009,0.3562,0.0177,0.3472,0.6288,0.0,0.0
750,1.4222794771194458,0.7823413610458374,0.3018544614315033,0.06154465675354004,0.5844388008117676,0.03456462174654007,0.3481,0.0189,0.3383,0.6355,0.0,0.0
800,1.2617597579956055,0.9726608991622925,0.32821008563041687,0.05770492181181908,0.589508056640625,0.0786929726600647,0.3402,0.0199,0.3303,0.6419,0.0,0.0
850,1.4488929510116577,0.4752137064933777,0.1983303725719452,0.054114796221256256,0.5944728255271912,0.018146641552448273,0.3326,0.021,0.3213,0.6483,0.0,0.0
900,1.0873061418533325,0.17400459945201874,0.20521363615989685,0.05077136307954788,0.6144996881484985,0.08643793314695358,0.3253,0.022,0.3136,0.6555,0.0,0.0
950,1.2264612913131714,0.47694718837738037,0.19890540838241577,0.047616127878427505,0.3717115819454193,0.16440756618976593,0.3182,0.023,0.3056,0.6617,0.0,0.0
1000,1.0750809907913208,0.19241708517074585,0.17466065287590027,0.04466768726706505,0.5218946933746338,0.2634013891220093,0.3113,0.024,0.2989,0.6681,0.0,0.0
