step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,4.2953948974609375,0.7850629091262817,0.5347175598144531,0.1600000113248825,1.295941710472107,0.07738473266363144,0.5,0.0,0.5,0.5,0.0,0.0
50,4.168757915496826,0.25400644540786743,0.26395654678344727,0.1504337638616562,0.7740253806114197,0.06972188502550125,0.4879,0.0008,0.4877,0.5074,0.0,0.0
100,4.151362419128418,0.6625770330429077,0.6818157434463501,0.1411360502243042,1.1816248893737793,0.012698166072368622,0.4757,0.0016,0.4752,0.514,0.0,0.0
150,3.8138668537139893,0.7696030139923096,0.6450623273849487,0.13231723010540009,0.8678063154220581,0.0527920126914978,0.4638,0.0024,0.463,0.5194,0.0,0.0
200,3.7035114765167236,1.1683937311172485,0.180241197347641,0.12397125363349915,1.1523394584655762,0.04196595400571823,0.4521,0.0033,0.4506,0.5275,0.0,0.0
250,3.6838533878326416,0.4758756458759308,0.48547589778900146,0.1160900741815567,1.1737216711044312,0.03364625945687294,0.4407,0.0042,0.4396,0.535,0.0,0.0
300,3.518190383911133,0.710868239402771,0.645679235458374,0.10866107791662216,0.9776365160942078,0.02980923093855381,0.4296,0.0051,0.4278,0.5427,0.0,0.0
350,3.2357139587402344,0.6285959482192993,0.6172558069229126,0.10166110843420029,0.6607530117034912,0.00971610751003027,0.4188,0.0059,0.417,0.5504,0.0,0.0
400,3.12150239944458,0.7146640419960022,0.6425596475601196,0.0950896292924881,0.7709441184997559,0.06367221474647522,0.4084,0.0067,0.4066,0.556,0.0,0.0
450,2.895097494125366,0.8322997689247131,0.2495465874671936,0.08892260491847992,0.6883814334869385,0.1254657357931137,0.3982,0.0076,0.3961,0.562,0.0,0.0
500,2.572638988494873,0.131937637925148,0.19126737117767334,0.08314074575901031,0.503450870513916,0.2206478714942932,0.3883,0.0084,0.3856,0.5699,0.0,0.0
550,2.7551050186157227,0.6838325262069702,0.6629635095596313,0.07772772014141083,0.5665680170059204,0.06536305695772171,0.3788,0.0092,0.3759,0.5773,0.0,0.0
600,2.58683705329895,0.8886368274688721,0.30469316244125366,0.07266514003276825,0.7072262167930603,0.042144376784563065,0.3696,0.01,0.3668,0.5858,0.0,0.0
650,2.6789958477020264,0.9946257472038269,0.1902342438697815,0.06793148070573807,0.6776673793792725,0.030879102647304535,0.3606,0.0107,0.3573,0.59,0.0,0.0
700,2.647935152053833,0.6796234846115112,0.6674381494522095,0.063511423766613,0.5920653343200684,0.08254861831665039,0.352,0.0115,0.347,0.5977,0.0,0.0
750,2.5459494590759277,0.7842249870300293,0.3003493547439575,0.059384170919656754,0.5740867853164673,0.030992981046438217,0.3437,0.0122,0.3402,0.6031,0.0,0.0
800,2.3144993782043457,0.9764293432235718,0.32609811425209045,0.05553220212459564,0.5789889097213745,0.0698365643620491,0.3357,0.0129,0.3326,0.6082,0.0,0.0
850,2.421480178833008,0.4758661389350891,0.19801181554794312,0.051939550787210464,0.5818309783935547,0.016281889751553535,0.3279,0.0137,0.3233,0.6135,0.0,0.0
900,2.0074450969696045,0.17547392845153809,0.20388725399971008,0.04858782887458801,0.6029566526412964,0.07860624045133591,0.3204,0.0143,0.3166,0.6201,0.0,0.0
950,2.083395481109619,0.479925274848938,0.19752824306488037,0.04546087607741356,0.36641156673431396,0.14162269234657288,0.3132,0.015,0.3082,0.6254,0.0,0.0
1000,1.878612756729126,0.19412848353385925,0.17507968842983246,0.042544588446617126,0.5122109651565552,0.24242836236953735,0.3063,0.0157,0.2995,0.631,0.0,0.0
