hmem,seed,avg_forgetting,overwritten_forgetting,final_accuracy
none,0,18.23,22.7875,68.92
none,1,15.640000000000004,19.550000000000004,71.3
none,2,16.6,20.75,69.42
none,3,16.040000000000003,20.050000000000004,71.10999999999999
none,4,18.1,22.625,69.2
none,5,16.119999999999997,20.15,70.49000000000001
none,6,16.33,20.412499999999998,69.76
none,7,16.160000000000004,20.200000000000003,69.86999999999999
none,8,16.95,21.1875,70.25
none,9,14.619999999999994,18.27499999999999,71.33000000000001
grad,0,16.669999999999998,20.8375,69.02000000000001
grad,1,12.280000000000003,15.350000000000003,72.16
grad,2,13.669999999999998,17.0875,70.41000000000001
grad,3,14.76,18.45,70.86999999999999
grad,4,16.880000000000003,21.100000000000005,69.35
grad,5,12.799999999999999,15.999999999999998,71.1
grad,6,12.669999999999998,15.837499999999999,71.35999999999999
grad,7,12.969999999999999,16.2125,71.13000000000001
grad,8,14.789999999999997,18.487499999999997,70.9
grad,9,12.55,15.687500000000002,72.12
random,0,18.19,22.7375,68.67
random,1,14.88,18.6,72.03
random,2,16.279999999999998,20.349999999999998,69.63000000000001
random,3,15.879999999999999,19.849999999999998,70.95
random,4,18.160000000000004,22.700000000000006,68.86999999999999
random,5,14.26,17.825,71.28999999999999
random,6,14.260000000000002,17.825000000000003,71.61
random,7,15.48,19.35,70.28
random,8,17.22,21.525,70.22999999999999
random,9,14.749999999999996,18.437499999999996,71.50999999999999
shuffled,0,18.050000000000004,22.562500000000004,68.72
shuffled,1,14.8,18.5,71.75
shuffled,2,16.41,20.5125,69.53
shuffled,3,16.04,20.049999999999997,70.65
shuffled,4,18.21,22.762500000000003,68.66
shuffled,5,15.000000000000004,18.750000000000004,70.97
shuffled,6,14.389999999999997,17.987499999999997,71.52
shuffled,7,15.909999999999997,19.887499999999996,69.88
shuffled,8,17.340000000000003,21.675000000000004,70.14
shuffled,9,14.909999999999997,18.637499999999996,71.28
magnitude,0,14.230000000000004,17.787500000000005,70.8
magnitude,1,12.070000000000002,15.087500000000002,72.29
magnitude,2,13.469999999999999,16.8375,70.38
magnitude,3,13.16,16.45,71.89000000000001
magnitude,4,14.89,18.6125,70.38999999999999
magnitude,5,12.080000000000002,15.100000000000001,71.24000000000001
magnitude,6,11.040000000000003,13.800000000000002,71.85
magnitude,7,11.950000000000001,14.937500000000002,71.60999999999999
magnitude,8,11.740000000000004,14.675000000000004,72.42999999999999
magnitude,9,12.15,15.1875,72.22999999999999
