task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69537,54.85,1.918
horizontal,1,2,0.64489,70.95,1.299
horizontal,1,3,0.5743,79.24,1.205
horizontal,1,4,0.46385,85.98,1.132
horizontal,1,5,0.31742,92.02,1.205
vertical,2,1,0.79099,56.21,1.282
vertical,2,2,0.68283,59.22,1.283
vertical,2,3,0.58807,64.41,1.325
vertical,2,4,0.49432,72.64,1.279
vertical,2,5,0.40188,81.97,1.288
circle,3,1,0.8509,50.87,1.24
circle,3,2,0.68872,57.33,1.226
circle,3,3,0.61801,67.33,1.246
circle,3,4,0.58066,74.67,1.291
circle,3,5,0.56063,76.25,1.303
diagonal,4,1,0.59887,64.36,1.305
diagonal,4,2,0.47663,90.68,1.31
diagonal,4,3,0.39059,92.12,1.333
diagonal,4,4,0.31175,94.21,1.567
diagonal,4,5,0.24795,96.53,1.285
xor_quadrant,5,1,1.00142,60.03,1.368
xor_quadrant,5,2,0.80919,67.11,1.259
xor_quadrant,5,3,0.70984,67.28,1.342
xor_quadrant,5,4,0.66007,67.21,1.322
xor_quadrant,5,5,0.63247,67.83,1.383
