task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.72845,44.8,1.576
horizontal,1,2,0.68108,66.34,1.314
horizontal,1,3,0.6267,92.36,1.529
horizontal,1,4,0.55369,91.44,1.454
horizontal,1,5,0.45205,93.87,1.682
vertical,2,1,0.68078,56.77,1.682
vertical,2,2,0.59909,63.76,1.92
vertical,2,3,0.51616,72.39,1.538
vertical,2,4,0.43225,81.27,1.727
vertical,2,5,0.34657,88.99,1.62
circle,3,1,0.81754,52.59,1.504
circle,3,2,0.72052,55.83,1.553
circle,3,3,0.65536,59.31,1.726
circle,3,4,0.60904,65.53,1.593
circle,3,5,0.57806,71.03,1.527
diagonal,4,1,0.56172,66.12,1.485
diagonal,4,2,0.44536,89.13,1.583
diagonal,4,3,0.37744,91.65,1.609
diagonal,4,4,0.31576,92.98,1.63
diagonal,4,5,0.26002,94.42,1.992
xor_quadrant,5,1,0.96471,60.86,1.766
xor_quadrant,5,2,0.83662,67.65,1.695
xor_quadrant,5,3,0.75305,67.8,1.526
xor_quadrant,5,4,0.69001,67.68,1.508
xor_quadrant,5,5,0.64832,66.7,1.529
