task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.70242,50.44,1.799
horizontal,1,2,0.6581,74.36,1.576
horizontal,1,3,0.60918,79.75,1.314
horizontal,1,4,0.52631,84.83,1.393
horizontal,1,5,0.39307,90.55,1.406
vertical,2,1,0.67654,58.24,1.339
vertical,2,2,0.58559,63.12,1.342
vertical,2,3,0.50056,71.17,1.315
vertical,2,4,0.40305,82.84,1.372
vertical,2,5,0.29554,90.72,1.306
circle,3,1,0.91734,52.98,1.639
circle,3,2,0.69807,57.2,1.677
circle,3,3,0.60542,62.41,1.386
circle,3,4,0.55626,73.43,1.412
circle,3,5,0.53387,76.4,1.425
diagonal,4,1,0.53841,74.46,1.413
diagonal,4,2,0.4073,88.9,1.602
diagonal,4,3,0.31148,90.94,1.403
diagonal,4,4,0.22791,94.22,1.391
diagonal,4,5,0.16671,97.01,1.415
xor_quadrant,5,1,1.25854,61.03,1.408
xor_quadrant,5,2,0.91221,67.18,1.398
xor_quadrant,5,3,0.73611,67.39,1.426
xor_quadrant,5,4,0.65588,67.71,1.457
xor_quadrant,5,5,0.61393,69.48,1.382
