task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69544,55.45,1.74
horizontal,1,2,0.61415,89.52,1.4
horizontal,1,3,0.495,98.18,1.255
horizontal,1,4,0.33214,98.64,1.279
horizontal,1,5,0.18433,98.4,1.189
vertical,2,1,1.10724,50.74,1.328
vertical,2,2,0.79783,55.59,1.395
vertical,2,3,0.60357,63.42,1.357
vertical,2,4,0.46516,76.99,1.428
vertical,2,5,0.34741,87.79,1.33
circle,3,1,0.84373,50.61,1.339
circle,3,2,0.68576,55.58,1.364
circle,3,3,0.60881,64.85,1.309
circle,3,4,0.5685,73.93,1.295
circle,3,5,0.54637,76.1,1.345
diagonal,4,1,0.56629,69.58,1.308
diagonal,4,2,0.39795,90.72,1.307
diagonal,4,3,0.27006,94.02,1.248
diagonal,4,4,0.18313,96.38,1.258
diagonal,4,5,0.12289,98.25,1.246
xor_quadrant,5,1,1.16217,57.96,1.227
xor_quadrant,5,2,0.74447,66.13,1.329
xor_quadrant,5,3,0.63705,67.46,1.302
xor_quadrant,5,4,0.60651,68.07,1.341
xor_quadrant,5,5,0.59025,68.8,1.405
