task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.21183,93.5,0.589
vertical,1,2,0.0311,99.11,0.338
vertical,1,3,0.01481,99.6,0.332
vertical,1,4,0.02509,98.98,0.337
vertical,1,5,0.00962,99.71,0.339
xor_quadrant,2,1,1.07615,52.73,0.349
xor_quadrant,2,2,0.32001,86.92,0.337
xor_quadrant,2,3,0.09478,96.83,0.34
xor_quadrant,2,4,0.04903,98.22,0.346
xor_quadrant,2,5,0.03531,98.69,0.347
diagonal,3,1,0.43811,88.61,0.359
diagonal,3,2,0.04555,98.68,0.35
diagonal,3,3,0.04312,98.65,0.342
diagonal,3,4,0.02758,99.2,0.338
diagonal,3,5,0.02752,99.09,0.36
circle,4,1,0.91889,70.23,0.35
circle,4,2,0.50848,76.1,0.406
circle,4,3,0.19132,93.27,0.399
circle,4,4,0.06401,97.5,0.401
circle,4,5,0.05043,97.99,0.403
horizontal,5,1,0.22817,94.01,0.368
horizontal,5,2,0.03307,98.89,0.383
horizontal,5,3,0.02109,99.21,0.386
horizontal,5,4,0.03329,98.82,0.393
horizontal,5,5,0.02782,99.04,0.408
