task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,1.04179,24.34,1.7
circle,1,2,0.71225,48.09,1.303
circle,1,3,0.57638,75.66,1.312
circle,1,4,0.55742,75.66,1.208
circle,1,5,0.55533,75.66,1.229
vertical,2,1,0.7454,49.68,1.414
vertical,2,2,0.62713,72.1,1.359
vertical,2,3,0.52557,94.88,1.374
vertical,2,4,0.38121,98.07,1.342
vertical,2,5,0.23516,98.04,1.356
xor_quadrant,3,1,1.03347,50.72,1.35
xor_quadrant,3,2,0.82294,50.02,1.337
xor_quadrant,3,3,0.7193,51.21,1.397
xor_quadrant,3,4,0.67037,56.67,1.378
xor_quadrant,3,5,0.64291,61.18,1.453
diagonal,4,1,0.50379,84.5,1.372
diagonal,4,2,0.41243,87.63,1.304
diagonal,4,3,0.32739,90.79,1.358
diagonal,4,4,0.25006,93.59,1.311
diagonal,4,5,0.18488,96.21,1.321
horizontal,5,1,0.38457,81.96,1.336
horizontal,5,2,0.20357,91.33,1.355
horizontal,5,3,0.12077,95.92,1.336
horizontal,5,4,0.07602,98.29,1.35
horizontal,5,5,0.05131,99.24,1.323
