task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.65189,70.42,1.955
horizontal,1,2,0.58937,80.33,1.555
horizontal,1,3,0.49485,86.61,1.401
horizontal,1,4,0.36529,91.58,1.39
horizontal,1,5,0.23135,95.2,1.383
xor_quadrant,2,1,1.05647,51.72,1.437
xor_quadrant,2,2,0.89587,52.87,1.353
xor_quadrant,2,3,0.788,53.21,1.395
xor_quadrant,2,4,0.71659,53.11,1.46
xor_quadrant,2,5,0.6739,55.51,1.374
circle,3,1,0.64097,60.96,1.405
circle,3,2,0.56207,74.91,1.304
circle,3,3,0.54406,76.56,1.486
circle,3,4,0.53386,76.56,1.511
circle,3,5,0.52309,76.56,1.377
diagonal,4,1,0.67645,57.01,1.307
diagonal,4,2,0.54157,80.06,1.274
diagonal,4,3,0.46009,81.83,1.294
diagonal,4,4,0.39448,84.84,1.279
diagonal,4,5,0.33229,88.9,1.296
vertical,5,1,0.52021,74.07,1.287
vertical,5,2,0.35721,85.88,1.26
vertical,5,3,0.235,95.49,1.268
vertical,5,4,0.15674,97.9,1.259
vertical,5,5,0.10871,98.53,1.263
