task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,1.17638,24.34,2.179
circle,1,2,0.97724,24.34,1.419
circle,1,3,0.76942,32.42,1.552
circle,1,4,0.62301,72.36,2.058
circle,1,5,0.56347,75.66,1.712
vertical,2,1,0.77698,49.68,1.518
vertical,2,2,0.69584,49.74,1.553
vertical,2,3,0.63254,69.07,1.521
vertical,2,4,0.56723,91.94,2.311
vertical,2,5,0.48546,96.26,2.304
diagonal,3,1,0.50138,78.55,1.577
diagonal,3,2,0.44638,82.92,1.674
diagonal,3,3,0.38638,88.26,1.85
diagonal,3,4,0.32586,93.38,2.098
diagonal,3,5,0.2716,96.57,2.12
horizontal,4,1,0.43221,78.56,1.877
horizontal,4,2,0.30686,87.34,2.074
horizontal,4,3,0.21611,92.5,2.33
horizontal,4,4,0.15389,95.75,1.707
horizontal,4,5,0.1118,97.59,1.582
xor_quadrant,5,1,1.38192,52.24,1.566
xor_quadrant,5,2,1.18869,53.71,1.568
xor_quadrant,5,3,1.00897,55.67,1.762
xor_quadrant,5,4,0.84948,59.06,1.787
xor_quadrant,5,5,0.73076,64.8,1.801
