,,base_forgetting,base_forgetting,gov_forgetting,gov_forgetting,base_overwritten,base_overwritten,gov_overwritten,gov_overwritten,base_final,base_final,gov_final,gov_final
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
perm,order,,,,,,,,,,,,
0,"vertical,xor_quadrant,diagonal,circle,horizontal",33.733333333333334,0.7114304838375506,21.283333333333335,1.6883818683382426,42.166666666666664,0.8892881047969368,26.60416666666667,2.1104773354228024,64.77,0.26457513110646413,64.87666666666667,0.17925772879664528
1,"horizontal,xor_quadrant,circle,diagonal,vertical",34.35,0.5723635208501573,20.72666666666667,1.8068296359461609,42.9375,0.7154544010626993,25.908333333333335,2.2585370449326994,64.36,0.26962937525426767,64.50333333333333,0.3521836642056742
2,"vertical,circle,horizontal,diagonal,xor_quadrant",39.32666666666667,0.6924112458166259,19.52,0.5642694391866351,49.15833333333333,0.8655140572707836,24.399999999999995,0.705336798983295,59.68333333333334,0.40771722226726487,68.72666666666667,1.0002666311205963
3,"circle,vertical,diagonal,horizontal,xor_quadrant",39.98666666666667,0.6141932377789,21.763333333333335,7.274107047145608,49.98333333333333,0.7677415472236266,27.20416666666667,9.09263380893201,58.82333333333333,0.9002962475392933,65.34666666666666,7.431294189663959
4,"circle,vertical,xor_quadrant,diagonal,horizontal",33.82333333333333,0.670024875160122,22.213333333333335,0.5379900866496834,42.27916666666667,0.837531093950148,27.76666666666667,0.6724876083121017,64.87333333333333,0.18502252115170778,64.89333333333333,0.2627419519858462
5,"horizontal,xor_quadrant,diagonal,vertical,circle",39.28666666666667,0.9544282756359106,30.346666666666664,1.9902093692205673,49.10833333333333,1.193035344544889,37.93333333333333,2.4877617115257076,59.303333333333335,0.5774368652357919,55.38333333333333,0.0493288286231682
6,"diagonal,horizontal,vertical,xor_quadrant,circle",39.39666666666667,0.5392896562454487,31.790000000000006,1.2707871576310479,49.24583333333334,0.6741120703068121,39.737500000000004,1.5884839470388101,59.38999999999999,0.7594076639065442,55.61000000000001,0.3750999866702151
7,"diagonal,vertical,xor_quadrant,horizontal,circle",39.01333333333333,0.7184242015225695,31.676666666666666,1.9599064603529759,48.76666666666667,0.8980302519032066,39.59583333333333,2.4498830754412237,59.589999999999996,0.5859180830116104,55.38333333333333,0.049328828623170305
8,"xor_quadrant,vertical,horizontal,diagonal,circle",39.696666666666665,1.0483479066289625,31.10666666666667,1.7673237771651562,49.62083333333334,1.3104348832862023,38.88333333333333,2.209154721456448,59.083333333333336,1.6046910398370522,55.44333333333333,0.08504900548115465
9,"xor_quadrant,diagonal,vertical,circle,horizontal",33.77,0.8046738469715544,22.776666666666667,1.408415184998135,42.2125,1.0058423087144426,28.47083333333333,1.7605189812476696,64.85666666666667,0.16165807537309176,65.15666666666667,0.23586719427113215
