task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.18314,94.86,1.155
horizontal,1,2,0.03295,98.98,0.723
horizontal,1,3,0.04427,98.4,0.686
horizontal,1,4,0.02455,99.09,0.718
horizontal,1,5,0.01544,99.42,0.707
vertical,2,1,0.51241,87.43,0.771
vertical,2,2,0.02658,99.41,0.798
vertical,2,3,0.03141,99.02,0.83
vertical,2,4,0.02588,98.98,0.871
vertical,2,5,0.02374,99.25,0.861
circle,3,1,0.74116,74.33,0.723
circle,3,2,0.12245,95.89,0.702
circle,3,3,0.06384,97.66,0.68
circle,3,4,0.06202,97.65,0.687
circle,3,5,0.04446,98.44,0.672
diagonal,4,1,0.26808,92.95,0.71
diagonal,4,2,0.04896,98.31,0.709
diagonal,4,3,0.04567,98.3,0.68
diagonal,4,4,0.04398,98.24,0.696
diagonal,4,5,0.02542,99.05,0.9
xor_quadrant,5,1,0.72905,67.76,0.839
xor_quadrant,5,2,0.12689,96.2,0.788
xor_quadrant,5,3,0.06362,97.56,0.782
xor_quadrant,5,4,0.0522,98.0,0.695
xor_quadrant,5,5,0.04045,98.54,0.879
