task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.35051,89.54,0.95
horizontal,1,2,0.04662,99.0,0.619
horizontal,1,3,0.02769,99.24,0.615
horizontal,1,4,0.02484,99.27,0.609
horizontal,1,5,0.02621,99.04,0.632
vertical,2,1,0.78062,78.24,0.619
vertical,2,2,0.05721,99.3,0.598
vertical,2,3,0.02709,99.32,0.59
vertical,2,4,0.02111,99.49,0.603
vertical,2,5,0.0278,99.12,0.61
circle,3,1,1.07124,62.74,0.614
circle,3,2,0.44531,77.37,0.609
circle,3,3,0.30764,87.05,0.651
circle,3,4,0.13828,97.23,0.659
circle,3,5,0.09225,97.37,0.646
diagonal,4,1,0.21231,93.84,0.657
diagonal,4,2,0.04943,98.42,0.594
diagonal,4,3,0.03598,98.78,0.615
diagonal,4,4,0.03013,98.96,0.627
diagonal,4,5,0.03046,98.75,0.596
xor_quadrant,5,1,1.16252,64.71,0.599
xor_quadrant,5,2,0.56278,69.44,0.611
xor_quadrant,5,3,0.52852,70.42,0.614
xor_quadrant,5,4,0.44742,77.04,0.637
xor_quadrant,5,5,0.18674,95.15,0.612
