task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.70928,50.86,1.759
horizontal,1,2,0.64867,74.58,1.243
horizontal,1,3,0.56855,93.49,1.222
horizontal,1,4,0.44616,96.94,1.34
horizontal,1,5,0.29074,97.76,1.268
vertical,2,1,0.92415,50.69,1.291
vertical,2,2,0.74878,56.26,1.317
vertical,2,3,0.59341,64.58,1.255
vertical,2,4,0.45402,78.08,1.313
vertical,2,5,0.32715,89.93,1.253
circle,3,1,0.88841,50.43,1.389
circle,3,2,0.75936,52.83,1.397
circle,3,3,0.67472,57.57,1.438
circle,3,4,0.61839,65.03,1.412
circle,3,5,0.58227,70.9,1.312
diagonal,4,1,0.55376,70.33,1.364
diagonal,4,2,0.4287,90.53,1.347
diagonal,4,3,0.32766,93.7,1.542
diagonal,4,4,0.2431,96.61,1.51
diagonal,4,5,0.17601,98.25,1.575
xor_quadrant,5,1,1.04266,58.7,1.674
xor_quadrant,5,2,0.8275,66.29,1.757
xor_quadrant,5,3,0.7286,67.37,1.582
xor_quadrant,5,4,0.65467,68.02,1.49
xor_quadrant,5,5,0.60598,68.68,1.314
