task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.2874,92.68,1.221
horizontal,1,2,0.03846,99.07,0.764
horizontal,1,3,0.01855,99.61,0.78
horizontal,1,4,0.01704,99.52,0.77
horizontal,1,5,0.01503,99.47,0.77
vertical,2,1,0.80634,77.96,0.763
vertical,2,2,0.05279,99.01,0.799
vertical,2,3,0.03182,99.25,0.79
vertical,2,4,0.03044,99.1,0.891
vertical,2,5,0.02322,99.29,0.846
circle,3,1,0.98203,63.33,0.874
circle,3,2,0.42558,77.89,0.819
circle,3,3,0.27271,91.15,0.84
circle,3,4,0.12335,97.38,0.803
circle,3,5,0.0726,97.99,0.791
diagonal,4,1,0.21706,92.88,0.796
diagonal,4,2,0.0399,98.44,0.808
diagonal,4,3,0.02956,98.86,0.803
diagonal,4,4,0.03083,98.86,0.812
diagonal,4,5,0.02474,99.11,0.872
xor_quadrant,5,1,0.90313,64.5,0.849
xor_quadrant,5,2,0.50335,70.33,0.843
xor_quadrant,5,3,0.28263,90.4,0.819
xor_quadrant,5,4,0.08882,96.81,0.824
xor_quadrant,5,5,0.06474,97.66,0.839
