task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.59548,81.96,1.325
horizontal,1,2,0.23824,97.81,1.138
horizontal,1,3,0.08596,99.08,0.803
horizontal,1,4,0.04708,99.34,0.934
horizontal,1,5,0.03032,99.62,0.823
vertical,2,1,0.93113,68.54,0.868
vertical,2,2,0.23513,92.73,0.853
vertical,2,3,0.10022,97.77,0.993
vertical,2,4,0.0558,99.2,0.913
vertical,2,5,0.03738,99.42,0.831
circle,3,1,1.23999,50.88,0.873
circle,3,2,0.57124,73.42,0.837
circle,3,3,0.52827,76.1,0.805
circle,3,4,0.47265,76.1,0.81
circle,3,5,0.34851,85.13,0.811
diagonal,4,1,0.26325,90.41,0.798
diagonal,4,2,0.08532,98.38,0.827
diagonal,4,3,0.05346,99.23,0.827
diagonal,4,4,0.0381,99.34,0.883
diagonal,4,5,0.03221,99.12,0.784
xor_quadrant,5,1,1.16901,66.04,0.825
xor_quadrant,5,2,0.60169,68.68,0.859
xor_quadrant,5,3,0.56328,69.81,0.835
xor_quadrant,5,4,0.53389,70.7,0.871
xor_quadrant,5,5,0.47864,72.93,0.81
