task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.27045,93.79,1.34
horizontal,1,2,0.03294,99.09,0.839
horizontal,1,3,0.0179,99.54,1.079
horizontal,1,4,0.0282,99.0,0.913
horizontal,1,5,0.01513,99.41,0.913
vertical,2,1,0.87156,77.31,0.873
vertical,2,2,0.05654,98.98,0.826
vertical,2,3,0.03175,99.28,0.835
vertical,2,4,0.02776,99.11,0.805
vertical,2,5,0.01958,99.45,0.804
circle,3,1,1.02531,64.03,0.929
circle,3,2,0.32899,85.94,0.985
circle,3,3,0.08414,97.34,0.919
circle,3,4,0.0495,98.41,0.876
circle,3,5,0.05166,98.18,1.01
diagonal,4,1,0.34756,90.01,0.907
diagonal,4,2,0.03865,99.49,0.84
diagonal,4,3,0.02666,99.34,0.799
diagonal,4,4,0.0197,99.49,0.951
diagonal,4,5,0.01878,99.46,0.875
xor_quadrant,5,1,0.95442,66.78,0.875
xor_quadrant,5,2,0.49725,70.4,0.862
xor_quadrant,5,3,0.27769,87.83,0.812
xor_quadrant,5,4,0.06924,97.71,0.899
xor_quadrant,5,5,0.05036,98.03,1.358
