task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.47334,87.39,1.337
horizontal,1,2,0.07928,99.1,0.867
horizontal,1,3,0.03111,99.43,0.909
horizontal,1,4,0.0215,99.32,0.981
horizontal,1,5,0.01729,99.45,0.809
vertical,2,1,1.2016,61.94,0.8
vertical,2,2,0.28523,90.45,0.825
vertical,2,3,0.08282,98.61,0.809
vertical,2,4,0.04063,99.55,0.834
vertical,2,5,0.02775,99.56,0.828
circle,3,1,1.15728,55.06,0.839
circle,3,2,0.51386,76.1,0.877
circle,3,3,0.48854,76.1,0.837
circle,3,4,0.44509,76.67,0.876
circle,3,5,0.32158,87.74,0.858
diagonal,4,1,0.32074,88.94,0.901
diagonal,4,2,0.08332,99.15,0.875
diagonal,4,3,0.03817,99.31,0.835
diagonal,4,4,0.02672,99.41,0.887
diagonal,4,5,0.02369,99.38,0.824
xor_quadrant,5,1,1.11085,64.46,0.981
xor_quadrant,5,2,0.5652,68.31,1.004
xor_quadrant,5,3,0.50038,70.47,0.952
xor_quadrant,5,4,0.2556,94.75,0.853
xor_quadrant,5,5,0.08314,98.28,0.972
