task,phase,region,size,A,R,I,adapter_need
horizontal,1,2,64,0.8909668326377869,0.9601426720619202,"[0.005193009972572327, 0.9939131140708923, 0.00037863143370486796, 0.000515130755957216]",0.8554552793502808
horizontal,1,3,1000,0.8900081515312195,0.9595450758934021,"[0.00587292667478323, 0.9930722117424011, 0.0004573436453938484, 0.0005974409868940711]",0.8540029525756836
horizontal,1,7,96,0.8913521766662598,0.9603606462478638,"[0.0049622864462435246, 0.9941998720169067, 0.00035260419826954603, 0.0004852304409723729]",0.8560195565223694
horizontal,1,8,1000,0.8900081515312195,0.9595450758934021,"[0.00587292667478323, 0.9930722117424011, 0.0004573436453938484, 0.0005974409868940711]",0.8540029525756836
horizontal,1,10,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,11,1000,0.8900081515312195,0.9595450758934021,"[0.00587292667478323, 0.9930722117424011, 0.0004573436453938484, 0.0005974409868940711]",0.8540029525756836
horizontal,1,18,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,19,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,20,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,21,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,22,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,27,96,0.8913521766662598,0.9603606462478638,"[0.0049622864462435246, 0.9941998720169067, 0.00035260419826954603, 0.0004852304409723729]",0.8560195565223694
