task,phase,epoch,improvement,damage_probe,active_rairaws,demand,grown
horizontal,1,2,0.7073,0.0,11,0.241,False
horizontal,1,3,0.1054,0.0,11,0.241,False
horizontal,1,4,-0.0445,0.0,11,0.241,False
horizontal,1,5,0.0533,0.0,11,0.241,False
vertical,2,2,0.8667,1.2252,9,0.207,False
vertical,2,3,0.2166,0.0707,9,0.207,False
vertical,2,4,-0.0906,0.0,9,0.207,False
vertical,2,5,0.0355,-0.0001,9,0.207,False
circle,3,2,0.5875,0.4022,9,0.193,False
circle,3,3,0.5095,0.1873,9,0.193,False
circle,3,4,0.2743,0.0229,9,0.193,False
circle,3,5,0.1622,0.0376,9,0.193,False
diagonal,4,2,0.6467,-0.0276,9,0.211,False
diagonal,4,3,0.0788,0.029,9,0.211,False
diagonal,4,4,-0.0276,-0.0144,9,0.211,False
diagonal,4,5,0.0795,0.003,9,0.211,False
xor_quadrant,5,2,0.6069,0.4565,9,0.205,False
xor_quadrant,5,3,0.5474,0.1343,9,0.205,False
xor_quadrant,5,4,-0.0313,0.0517,9,0.205,False
xor_quadrant,5,5,0.214,0.0446,9,0.205,False
