task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.27249,94.1,2.41
horizontal,1,2,0.07976,99.01,2.049
horizontal,1,3,0.07135,99.31,2.053
horizontal,1,4,0.07452,99.07,2.049
horizontal,1,5,0.07055,99.23,2.056
vertical,2,1,0.71195,73.29,1.863
vertical,2,2,0.09488,98.82,2.172
vertical,2,3,0.07433,99.31,2.099
vertical,2,4,0.08107,98.95,2.124
vertical,2,5,0.07819,98.98,2.366
circle,3,1,0.81937,66.42,2.189
circle,3,2,0.33799,88.08,2.284
circle,3,3,0.16577,96.05,2.284
circle,3,4,0.1203,97.5,2.188
circle,3,5,0.10078,98.37,2.119
diagonal,4,1,0.25672,90.21,1.906
diagonal,4,2,0.09069,98.56,1.958
diagonal,4,3,0.08355,98.78,1.971
diagonal,4,4,0.08586,98.51,2.59
diagonal,4,5,0.07903,98.95,2.186
xor_quadrant,5,1,0.74907,66.64,1.988
xor_quadrant,5,2,0.29445,89.13,1.975
xor_quadrant,5,3,0.13328,97.0,1.916
xor_quadrant,5,4,0.13746,96.42,2.505
xor_quadrant,5,5,0.10804,97.88,2.653
