task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.71238,50.3,2.005
horizontal,1,2,0.64835,77.96,1.368
horizontal,1,3,0.56497,97.92,1.62
horizontal,1,4,0.43884,99.02,1.76
horizontal,1,5,0.27503,99.19,1.642
vertical,2,1,0.93528,51.52,1.432
vertical,2,2,0.74121,56.32,1.561
vertical,2,3,0.56991,65.35,1.612
vertical,2,4,0.40641,82.26,1.453
vertical,2,5,0.24847,93.44,1.337
circle,3,1,1.05257,49.57,1.869
circle,3,2,0.84071,51.93,1.887
circle,3,3,0.69635,59.97,1.359
circle,3,4,0.6135,68.87,1.302
circle,3,5,0.5686,75.07,1.3
diagonal,4,1,0.54472,73.86,1.288
diagonal,4,2,0.3923,91.28,1.369
diagonal,4,3,0.26811,94.28,1.409
diagonal,4,4,0.16818,97.64,1.478
diagonal,4,5,0.10083,99.32,1.351
xor_quadrant,5,1,1.26741,60.85,1.409
xor_quadrant,5,2,1.03941,66.58,1.387
xor_quadrant,5,3,0.94213,67.0,1.388
xor_quadrant,5,4,0.8327,67.35,1.332
xor_quadrant,5,5,0.72294,67.44,1.396
