task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.16843,94.71,0.58
horizontal,1,2,0.02715,99.23,0.342
horizontal,1,3,0.04085,98.59,0.34
horizontal,1,4,0.02568,99.25,0.354
horizontal,1,5,0.02031,99.25,0.384
vertical,2,1,0.54594,85.43,0.34
vertical,2,2,0.04869,98.29,0.381
vertical,2,3,0.021,99.5,0.549
vertical,2,4,0.03032,99.07,0.533
vertical,2,5,0.01969,99.37,0.54
circle,3,1,0.77062,71.72,0.495
circle,3,2,0.21161,92.63,0.439
circle,3,3,0.09931,96.89,0.438
circle,3,4,0.06048,97.89,0.451
circle,3,5,0.06092,97.66,0.445
diagonal,4,1,0.26595,91.08,0.442
diagonal,4,2,0.05168,98.16,0.44
diagonal,4,3,0.04921,97.97,0.444
diagonal,4,4,0.03971,98.4,0.442
diagonal,4,5,0.04161,98.47,0.446
xor_quadrant,5,1,0.878,67.91,0.451
xor_quadrant,5,2,0.50606,72.81,0.438
xor_quadrant,5,3,0.30451,86.05,0.428
xor_quadrant,5,4,0.0559,98.19,0.438
xor_quadrant,5,5,0.05086,98.07,0.445
