task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.14403,96.19,0.69
horizontal,1,2,0.02774,99.13,0.427
horizontal,1,3,0.02553,99.15,0.393
horizontal,1,4,0.02463,98.98,0.402
horizontal,1,5,0.01758,99.27,0.383
vertical,2,1,0.54858,86.36,0.388
vertical,2,2,0.0482,98.27,0.391
vertical,2,3,0.02053,99.39,0.415
vertical,2,4,0.01387,99.64,0.402
vertical,2,5,0.01839,99.33,0.405
circle,3,1,0.79764,72.57,0.39
circle,3,2,0.17225,93.53,0.387
circle,3,3,0.08791,96.58,0.385
circle,3,4,0.06906,97.31,0.404
circle,3,5,0.04968,98.08,0.378
diagonal,4,1,0.37168,90.28,0.369
diagonal,4,2,0.05388,98.23,0.369
diagonal,4,3,0.03546,98.76,0.375
diagonal,4,4,0.07391,97.49,0.34
diagonal,4,5,0.03586,98.78,0.341
xor_quadrant,5,1,0.60402,78.67,0.362
xor_quadrant,5,2,0.06766,97.93,0.373
xor_quadrant,5,3,0.03671,98.93,0.382
xor_quadrant,5,4,0.03381,98.84,0.372
xor_quadrant,5,5,0.03058,99.07,0.387
