task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.62807,75.64,1.368
horizontal,1,2,0.32628,93.33,0.94
horizontal,1,3,0.10305,98.8,0.881
horizontal,1,4,0.04625,99.63,0.864
horizontal,1,5,0.02786,99.76,0.883
vertical,2,1,1.09019,59.03,0.871
vertical,2,2,0.37816,84.88,0.873
vertical,2,3,0.14552,96.83,0.876
vertical,2,4,0.06448,99.36,0.883
vertical,2,5,0.03998,99.7,0.877
circle,3,1,1.1613,52.77,0.841
circle,3,2,0.53605,73.14,0.805
circle,3,3,0.49799,75.86,0.869
circle,3,4,0.46394,75.86,0.812
circle,3,5,0.43017,75.86,0.826
diagonal,4,1,0.50863,76.54,0.823
diagonal,4,2,0.26929,89.48,0.882
diagonal,4,3,0.14786,93.43,0.863
diagonal,4,4,0.09886,95.82,0.85
diagonal,4,5,0.06158,98.48,0.882
xor_quadrant,5,1,0.98078,66.0,0.857
xor_quadrant,5,2,0.56862,69.74,0.812
xor_quadrant,5,3,0.49794,70.67,0.908
xor_quadrant,5,4,0.36645,88.03,0.827
xor_quadrant,5,5,0.19628,95.68,0.841
