seed,gov_forgetting,base_forgetting,diff_forgetting,gov_forgetting_overwritten,base_forgetting_overwritten,diff_forgetting_overwritten,gov_final_accuracy,base_final_accuracy,diff_final_accuracy
0,18.23,39.89,-21.66,22.7875,49.8625,-27.074999999999996,68.92,59.27,9.649999999999999
1,15.640000000000004,38.62,-22.979999999999993,19.550000000000004,48.275,-28.724999999999994,71.3,60.42999999999999,10.870000000000005
2,16.6,39.82000000000001,-23.220000000000006,20.75,49.775000000000006,-29.025000000000006,69.42,59.120000000000005,10.299999999999997
3,16.040000000000003,39.18,-23.139999999999997,20.050000000000004,48.975,-28.924999999999997,71.10999999999999,58.779999999999994,12.329999999999991
4,18.1,38.989999999999995,-20.889999999999993,22.625,48.7375,-26.112499999999997,69.2,59.730000000000004,9.469999999999999
5,16.119999999999997,39.28000000000001,-23.16000000000001,20.15,49.10000000000001,-28.95000000000001,70.49000000000001,59.970000000000006,10.520000000000003
6,16.33,39.32,-22.990000000000002,20.412499999999998,49.15,-28.7375,69.76,59.75,10.010000000000005
7,16.160000000000004,39.31,-23.15,20.200000000000003,49.1375,-28.9375,69.86999999999999,59.35,10.519999999999989
8,16.95,39.36,-22.41,21.1875,49.2,-28.012500000000003,70.25,59.660000000000004,10.589999999999996
9,14.619999999999994,37.46,-22.840000000000007,18.27499999999999,46.825,-28.55000000000001,71.33000000000001,61.15999999999999,10.170000000000023
