task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.64712,71.39,1.441
horizontal,1,2,0.57229,81.29,1.072
horizontal,1,3,0.45807,87.35,1.187
horizontal,1,4,0.30852,92.33,1.139
horizontal,1,5,0.1776,95.87,1.246
vertical,2,1,1.03621,53.42,1.354
vertical,2,2,0.79693,55.08,1.289
vertical,2,3,0.63459,58.93,1.243
vertical,2,4,0.50616,71.51,1.268
vertical,2,5,0.37993,86.37,1.201
circle,3,1,0.81313,51.38,1.334
circle,3,2,0.64126,60.26,1.241
circle,3,3,0.57787,74.94,1.191
circle,3,4,0.54378,76.56,1.431
circle,3,5,0.52297,76.56,1.863
diagonal,4,1,0.55639,72.01,1.902
diagonal,4,2,0.36782,90.09,1.689
diagonal,4,3,0.26491,94.14,1.291
diagonal,4,4,0.19951,96.4,1.21
diagonal,4,5,0.15551,97.62,1.225
xor_quadrant,5,1,1.24476,58.77,1.216
xor_quadrant,5,2,0.83261,66.1,1.254
xor_quadrant,5,3,0.67665,66.67,1.199
xor_quadrant,5,4,0.63109,67.54,1.493
xor_quadrant,5,5,0.60563,68.43,1.195
