seed,run,avg_forgetting,avg_forgetting_overwritten,final_avg_accuracy
0,baseline,39.89,49.862500000000004,59.27
0,governed_t0.10,28.509999999999998,35.637499999999996,65.45
1,baseline,38.61999999999999,48.27499999999999,60.42999999999999
1,governed_t0.10,35.04,43.8,57.85
2,baseline,39.82,49.775,59.120000000000005
2,governed_t0.10,22.23,27.7875,71.16
3,baseline,39.18,48.975,58.779999999999994
3,governed_t0.10,36.99,46.237500000000004,57.89
4,baseline,38.989999999999995,48.7375,59.730000000000004
4,governed_t0.10,35.21,44.0125,59.48
5,baseline,39.279999999999994,49.099999999999994,59.970000000000006
5,governed_t0.10,35.13,43.9125,59.379999999999995
6,baseline,39.32,49.15,59.75
6,governed_t0.10,36.92,46.150000000000006,58.839999999999996
7,baseline,39.31,49.1375,59.35
7,governed_t0.10,35.93,44.9125,58.82000000000001
8,baseline,39.36,49.2,59.660000000000004
8,governed_t0.10,19.86,24.825,69.12
9,baseline,37.46,46.825,61.15999999999999
9,governed_t0.10,22.91,28.6375,69.52000000000001
